author,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12
matoushavlena,0,5,4,2,0,1,1,0,2,0,0,0
matsk-sinch,0,1,0,0,0,0,0,0,0,0,0,0
maxbrokman,0,0,0,1,0,0,0,0,0,0,0,0
maxekman,0,0,0,0,0,3,0,0,0,0,0,0
maxzyma,0,1,0,0,0,0,0,0,0,0,0,0
mbleigh,0,1,0,0,0,0,0,0,0,0,0,0
mcglabs,3,0,0,1,0,0,1,0,0,0,0,0
mclenhard,0,0,1,0,0,0,0,0,0,0,0,0
mdii,0,2,0,0,0,0,0,0,0,0,0,0
meetrais,0,0,0,0,0,0,0,0,0,0,4,0
